SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,SHMAX,SHMAX_SIG,YMAX,TRT,DOMAIN,CAT_FILE
ETAS,ETAS,area,1.0,10.0,5.0,15.0,4.5,3.0,7.5,7.3,7.7,693.4159,591.6188,796.9820,1.225401,1.264600,1.186202,-99,-99,1970;1964;1900,2.9;5.0;6.0,138.94,1.215,2017,Non_cratonic,4,NSHA18CAT_V0.1_hmtk_declustered.csv
WTAS,WTAS,area,1.0,10.0,5.0,15.0,4.5,3.0,7.5,7.3,7.7,10408.81,12649.74,8467.538,1.271169,1.316468,1.225869,-99,-99,1970;1964;1900,2.9;5.0;6.0,138.87,1.875,2017,Non_cratonic,2,NSHA18CAT_V0.1_hmtk_declustered.csv
OSGB,OSGB,area,1.0,10.0,5.0,15.0,4.5,3.0,7.7,7.5,7.9,12159.35,18324.12,8036.822,1.138132,1.208049,1.068215,-99,-99,1970;1964;1900,2.9;5.0;6.0,134.56,2.9005,2017,Extended,5,NSHA18CAT_V0.1_hmtk_declustered.csv
SAPM,SAPM,area,1.0,10.0,5.0,15.0,4.5,3.5,7.7,7.5,7.9,1187.122,1961.794,673.4558,0.998502,1.097950,0.899054,-99,-99,1980;1964;1900,3.5;5.0;6.0,115.82,17.890,2017,Extended,7,NSHA18CAT_V0.1_hmtk_declustered.csv
GAWL,GAWL,area,1.0,5.0,2.5,10.0,4.5,3.0,7.5,7.3,7.7,15601.52,19448.03,12428.27,1.271169,1.316468,1.225869,-99,-99,1966;1964;1900,3.0;5.0;6.0,99.745,6.7093,2017,Cratonic,2,NSHA18CAT_V0.1_hmtk_declustered.csv
FRML,FMLR,area,1.0,10.0,5.0,15.0,4.5,3.0,7.5,7.3,7.7,59238.08,77123.52,45416.60,1.271169,1.316468,1.225869,-99,-99,1966;1964;1900,3.0;5.0;6.0,100.2,10.227,2017,Non_cratonic,2,NSHA18CAT_V0.1_hmtk_declustered.csv
YLGN,YLGN,area,1.0,5.0,2.5,10.0,4.5,3.2,7.5,7.3,7.7,6322.648,9164.122,4341.244,0.972530,1.033610,0.911451,-99,-99,1980;1964;1900,3.1;5.0;6.0,88.23,1.5832,2017,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
PLBR,PLBR,area,1.0,5.0,2.5,10.0,4.5,3.5,7.5,7.3,7.7,2318.094,3162.770,1655.441,0.972530,1.033610,0.911451,-99,-99,1980;1964;1900,3.1;5.0;6.0,105.96,2.9285,2017,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
CARP,CARP,area,1.0,5.0,2.5,10.0,4.5,3.3,7.5,7.3,7.7,11250.87,16093.77,7840.859,0.961514,1.017014,0.906014,-99,-99,1980;1964;1900,3.1;5.0;6.0,80.72,22.113,2017,Cratonic,3,NSHA18CAT_V0.1_hmtk_declustered.csv
EAPM,EAPM,area,1.0,10.0,5.0,15.0,4.5,3.3,7.7,7.5,7.9,1612.249,2850.048,888.6511,0.998502,1.097950,0.899054,-99,-99,1975;1964;1900,3.0;5.0;6.0,39.5,37.666,2017,Extended,7,NSHA18CAT_V0.1_hmtk_declustered.csv
TSMN,TSMN,area,1.0,10.0,5.0,15.0,4.5,3.0,7.5,7.3,7.7,89868.59,113437.5,71119.94,1.225401,1.264600,1.186202,-99,-99,1975;1964;1900,3.0;5.0;6.0,74.72,33.263,2017,Non_cratonic,4,NSHA18CAT_V0.1_hmtk_declustered.csv
KMBY,KMBY,area,1.0,5.0,2.5,10.0,4.5,3.3,7.5,7.3,7.7,902.3793,1113.845,692.5839,0.972530,1.033610,0.911451,-99,-99,1980;1964;1900,3.1;5.0;6.0,57.64,4.5658,2017,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
WAPM,WAPM,area,1.0,10.0,5.0,15.0,4.5,3.5,7.7,7.5,7.9,3057.349,5709.289,1599.148,0.998502,1.097950,0.899054,-99,-99,1980;1964;1900,3.1;5.0;6.0,107.11,7.3649,2017,Extended,7,NSHA18CAT_V0.1_hmtk_declustered.csv
NAOR,NAOR,area,1.0,5.0,2.5,10.0,4.5,3.5,7.5,7.3,7.7,1699.073,2173.723,1286.564,0.961514,1.017014,0.906014,-99,-99,1980;1964;1900,3.1;5.0;6.0,51.095,12.834,2017,Cratonic,3,NSHA18CAT_V0.1_hmtk_declustered.csv
NACR,NACR,area,1.0,5.0,2.5,10.0,4.5,3.5,7.5,7.3,7.7,2759.916,3829.534,1946.731,0.972530,1.033610,0.911451,-99,-99,1980;1964;1900,3.1;5.0;6.0,29.745,29.086,2017,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
WARM,WARM,area,1.0,10.0,5.0,15.0,4.5,3.3,7.7,7.5,7.9,11074.25,15700.95,7780.548,0.989660,1.044916,0.934403,-99,-99,1980;1964;1900,3.1;5.0;6.0,89.2,19.030,2017,Extended,6,NSHA18CAT_V0.1_hmtk_declustered.csv
