SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,YMAX,TRT,DOMAIN,CAT_FILE
ZONE 1,Z001,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4862.972,11221.44,2053.075,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 11,Z011,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,6236.467,14762.44,2537.994,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 12,Z012,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,352.0945,553.3098,218.2730,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 13,Z013,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,44.63534,18.74394,60.68158,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 14,Z014,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,434.9746,454.7483,341.7024,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 15,Z015,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,5065.234,11571.75,2135.852,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 16,Z016,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,184.5043,258.4102,129.1832,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 17,Z017,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4126.391,9677.713,1733.498,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 18,Z018,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,15307.19,44968.21,4809.760,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 19,Z019,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,5306.281,13052.72,1991.210,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 2,Z002,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4874.164,11644.86,2000.639,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 20,Z020,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,525.5623,757.7535,343.0770,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 21,Z021,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,467.5435,652.0978,311.2767,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 22,Z022,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,516.3199,744.4277,337.0437,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 23,Z023,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,596.7242,1020.629,342.1229,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 24,Z024,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,325.8730,434.3963,240.8607,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 25,Z025,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,771.2415,1373.232,421.9750,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 26,Z026,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,603.9387,892.5161,388.2337,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 27,Z027,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,342.6843,449.4226,257.4475,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 28,Z028,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,330.1438,333.1121,268.7243,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 29,Z029,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,10597.28,29007.28,3794.385,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 3,Z003,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4905.632,10932.15,2095.592,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 30,Z030,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,606.4598,903.1760,380.8649,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 31,Z031,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,276.7785,338.8509,221.6967,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 32,Z032,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,203.8973,241.1017,167.9858,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 34,Z034,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,501.3094,715.6631,329.2110,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 35,Z035,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,184.1319,247.6079,130.3515,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 36,Z036,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,437.7714,691.0149,267.1646,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 37,Z037,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,821.1665,1517.686,437.7596,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 38,Z038,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,622.8983,1125.068,337.9981,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 4,Z004,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,8461.002,21701.80,3234.824,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 5,Z005,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,9419.812,25034.33,3475.773,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 6,Z006,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,215.4327,291.4254,155.1479,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 7,Z007,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,462.4798,623.7290,309.0219,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 8,Z008,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,11259.26,30859.86,3851.211,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
ZONE 9,Z009,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,7064.859,17327.78,2774.825,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
