SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,YMAX,TRT,DOMAIN,CAT_FILE
ETAS,ETAS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,799.0295,1232.971,484.2972,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
WTAS,WTAS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4272.865,9852.214,1817.220,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
OSGB,OSGB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,626.9290,1061.876,360.5890,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
SAPM,SAPM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,198.9773,282.9547,136.3138,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
GAWL,GAWL,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4611.150,10640.35,1946.759,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
FRML,FMLR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,17662.14,53261.46,5466.517,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
YLGN,YLGN,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,637.7046,955.0475,406.4533,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
PLBR,PLBR,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,392.5450,530.4780,264.0699,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
CARP,CARP,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1555.908,2538.509,934.1886,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
EAPM,EAPM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,312.4474,478.8915,198.5942,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
TSMN,TSMN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,51808.97,178862.6,14665.80,1.197608,1.351806,1.04341,1.197608,0.154198,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4.,AUSTCAT_V0.12_hmtk_declustered.csv
KMBY,KMBY,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,106.3033,114.3767,95.17608,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
WAPM,WAPM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,772.2123,1394.756,419.0192,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
NAOR,NAOR,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,322.3268,422.7242,242.1536,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
NACR,NACR,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,379.9247,505.1245,259.7790,0.778902,0.849672,0.708132,0.778902,0.07077,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3.,AUSTCAT_V0.12_hmtk_declustered.csv
WARM,WARM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,2066.963,4496.707,916.1709,0.835197,0.943686,0.726708,0.835197,0.108489,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7.,AUSTCAT_V0.12_hmtk_declustered.csv
