DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREG,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW,PREFMWSRC,COMM
1979-06-02 09:47:59,722968.4083,local,2,117.104,-30.821,3,EHB,6.1,GCMT,6,AUST,6,AUST,6.2,AUST,WA,5.61,6.10,MW,6.10,MW,GCMT,6.05,6.03,5.40,6.10,GCMT,"6.5 km SSW of Cadoux; WA"
1981-11-15 16:58:11,723865.7071,local,2,150.847,-34.21,18.04,MEL,4.1,AUST,3.9,AUST,4.3,AUST,4.6,AUST,SEA,4.60,4.10,MW,4.10,MW,AUST,4.48,3.99,4.48,4.10,AUST,"Appin; NSW"
1986-03-30 08:53:53,725461.3708,local,2,132.734,-26.31,5,EHB,5.7,GCMT,5.8,EHB,5.8,AUST,6,AUST,WA,5.59,5.70,MW,5.70,MW,GCMT,5.87,5.79,5.38,5.70,GCMT,"Marryat Creek; SA"
1986-07-11 07:17:56,725564.3041,local,0,132.852,-26.207,0,MEL,5.3,GCMT,5.3,AUST,5.6,AUST,5.6,AUST,WA,5.26,5.30,MW,5.30,MW,GCMT,5.46,5.55,5.07,5.30,GCMT,"Marryat Creek; SA"
1987-01-09 11:27:16,725746.4773,local,0,133.786,-19.954,15,EHB,5.4,GCMT,NaN,,5.1,AUST,NaN,,WA,NaN,5.40,MW,5.40,MW,GCMT,NaN,4.95,NaN,5.40,GCMT,"54 km SW of Tennant Creek; NT"
1988-01-22 00:35:59,726124.025,local,0,133.795,-19.866,5,EHB,6.27,Choy & Bowman (1990),6.2,AUST,6.1,AUST,6.3,AUST,WA,5.72,6.27,MW,6.27,MW,Choy & Bowman (1990),6.24,6.15,5.50,6.27,Choy & Bowman (1990),"Tennant Creek; NT"
1988-01-22 03:57:26,726124.1649,local,0,133.837,-19.875,3,EHB,6.44,Choy & Bowman (1990),6.3,AUST,6.1,AUST,6.4,AUST,WA,5.82,6.44,MW,6.44,MW,Choy & Bowman (1990),6.33,6.15,5.60,6.44,Choy & Bowman (1990),"Tennant Creek; NT"
1988-01-22 12:04:59,726124.5035,local,2,133.854,-19.896,5,EHB,6.58,Choy & Bowman (1990),6.5,AUST,6.5,AUST,6.7,AUST,WA,6.11,6.58,MW,6.58,MW,Choy & Bowman (1990),6.52,6.63,5.89,6.58,Choy & Bowman (1990),"45 km SW of Tennant Creek; NT"
1988-01-22 20:54:04,726124.8709,local,0,133.917,-19.92,3,EHB,5.3,GCMT,5.3,AUST,5.8,AUST,5.3,AUST,WA,4.71,5.30,MW,5.30,MW,GCMT,5.46,5.79,4.58,5.30,GCMT,"Tennant Creek; NT"
1989-12-27 23:26:57,726829.9771,local,2,151.61,-32.952,10.5,MEL,5.42,Allen (2012),4.6,AUST,5.7,AUST,5.63,Allen (unpublished),SEA,5.39,5.42,MW,5.42,MW,Allen (2012),4.93,5.67,5.19,5.42,Allen (2012),"Newcastle; NSW"
1994-08-06 11:03:51,728512.461,local,2,151.292,-32.917,0.64,MEL,4.71,Allen (2012),NaN,,5.3,AUST,5.08,Allen (unpublished),SEA,NaN,4.71,MW,4.71,MW,Allen (2012),NaN,5.19,4.91,4.71,Allen (2012),"Ellalong; NSW"
1996-09-25 07:49:57,729293.3264,local,3,146.421,-37.863,11.4,MEL,4.44,Allen (2012),NaN,,4.7,AUST,4.84,Allen (unpublished),SEA,NaN,4.44,MW,4.44,MW,Allen (2012),NaN,4.47,4.70,4.44,Allen (2012),"Thomson Reservoir; Vic"
1997-08-10 09:20:33,729612.3893,local,2,124.333,-16.159,20,EHB,6.2,GCMT,5.9,AUST,5.8,AUST,6,AUST,WA,NaN,6.20,MW,6.20,MW,GCMT,5.96,5.79,5.78,6.20,GCMT,"Collier Bay; WA"
2002-03-30 21:15:45,731305.8859,local,0,117.217,-30.482,17.9,ISC,4.6,Allen et al. (2006),NaN,,4.7,ISC,NaN,,WA,NaN,4.60,MW,4.60,MW,Allen et al. (2006),NaN,4.47,NaN,4.60,Allen et al. (2006),"Burakin; WA"
2004-02-11 09:30:42,731988.3963,local,2,130.1001,-22.4979,12.5,ISC,4.9,GCMT,NaN,,5,ISC,5.4,AUST,WA,NaN,4.90,MW,4.90,MW,GCMT,NaN,4.83,5.20,4.90,GCMT,"Mt Redvers; NT"
2004-11-24 02:42:56,732275.1132,local,2,117.726,-30.548,10,ISC,4.16,Allen et al. (2006),NaN,,4.7,ISC,4.4,AUST,WA,NaN,4.16,MW,4.16,MW,Allen et al. (2006),NaN,4.47,4.31,4.16,Allen et al. (2006),"NE of Koorda; WA"
2009-01-31 08:47:02,733804.366,local,2,117.8156,-30.2379,3.1,ISC,3.78,Herrmann (2009),NaN,,4.2,ISC,4.6,AUST,WA,NaN,3.78,MW,3.78,MW,Herrmann (2009),NaN,3.87,4.49,3.78,Herrmann (2009),"Beacon; WA"
2009-09-05 03:00:52,734021.1256,local,1,133.9192,-19.9565,12,ISC,4.03,Ghasemi et al (2016),NaN,,4,ISC,3.7,AUST,WA,NaN,4.03,MW,4.03,MW,Ghasemi et al (2016),NaN,3.62,3.74,4.03,Ghasemi et al (2016),"45 km SW of Tennant Creek ; NT"
2010-04-20 00:17:09,734248.0119,local,2,121.7699,-30.7448,10,ISC,4.16,Ghasemi et al (2016),NaN,,4.9,ISC,5,AUST,WA,NaN,4.16,MW,4.16,MW,Ghasemi et al (2016),NaN,4.71,4.84,4.16,Ghasemi et al (2016),"20 km E of Kalgoorlie; WA"
2010-11-29 11:16:39,734471.4699,local,0,133.7726,-19.9799,12,ISC,4.09,Ghasemi et al (2016),NaN,,4.1,ISC,NaN,,WA,NaN,4.09,MW,4.09,MW,Ghasemi et al (2016),NaN,3.75,NaN,4.09,Ghasemi et al (2016),"57 km SW of Tennant Creek; NT"
2012-03-23 09:25:12,734951.3925,local,2,131.971,-26.178,10,GG,5.18,Ghasemi et al (2016),5.51,AUST,5.6,GG,5.7,AUST,WA,NaN,5.18,MW,5.18,MW,Ghasemi et al (2016),5.63,5.55,5.49,5.18,Ghasemi et al (2016),"20 km NW of Pukatja (Ernabella); SA"
2014-09-26 15:38:16,735868.6516,local,1,119.534,-20.1,10,AUST,4.02,Ghasemi et al (2016),3.97,AUST,4.61,AUST,4.16,AUST,WA,NaN,4.02,MW,4.02,MW,Ghasemi et al (2016),4.52,4.36,4.11,4.02,Ghasemi et al (2016),"103 km ENE of Port Hedland; WA"
2014-10-31 19:15:25,735903.8024,local,1,121.232,-30.815,10,AUST,3.88,Ghasemi et al (2016),3.72,AUST,4.48,AUST,4.22,AUST,WA,NaN,3.88,MW,3.88,MW,Ghasemi et al (2016),4.38,4.20,4.16,3.88,Ghasemi et al (2016),"17 km NNE of Coolgardie; WA"
2015-10-13 06:54:56,736250.2881,local,1,120.751,-22.569,13,AUST,4.08,Ghasemi et al (2016),4,AUST,4.44,AUST,4.44,AUST,WA,NaN,4.08,MW,4.08,MW,Ghasemi et al (2016),4.54,4.15,4.35,4.08,Ghasemi et al (2016),"100 km SE of Nullagine; Pilbara; WA"
2016-04-28 16:52:44,736448.7033,local,0,133.967,-19.792,7,USGS,3.75,Ghasemi et al (2016),3.59,AUST,4.4,USGS,3.95,AUST,WA,NaN,3.75,MW,3.75,MW,Ghasemi et al (2016),4.31,4.11,3.94,3.75,Ghasemi et al (2016),"29 km SW of Tennant Creek; NT"
2016-07-08 09:40:52,736519.4034,local,2,122.346,-32.541,10,USGS,4.97,Ghasemi et al (2016),5.02,AUST,5.2,USGS,5.59,AUST,WA,NaN,4.97,MW,4.97,MW,Ghasemi et al (2016),5.24,5.07,5.38,4.97,Ghasemi et al (2016),"65 km SE of Norseman; WA"
2016-11-06 09:54:32,736640.4129,local,1,128.002,-19.102,10,USGS,4.48,Ghasemi et al (2016),NaN,,4.8,USGS,5.07,AUST,WA,NaN,4.48,MW,4.48,MW,Ghasemi et al (2016),NaN,4.59,4.90,4.48,Ghasemi et al (2016),"103 km SSE of Halls Creek; WA"

