SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,YMAX,TRT,DOMAIN,CAT_FILE
South Victoria,ZN5,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,721.9634,1260.453,405.5145,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,GGcat-161025.csv
Northwest Australia,ZN6a,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1384.224,2169.668,852.6673,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,GGcat-161025.csv
Northern Territory,ZN1a,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,614.0618,840.7756,411.1076,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,GGcat-161025.csv
Flinders Ranges,ZN2a,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,15530.37,41682.13,5304.267,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,GGcat-161025.csv
Southern South Australia,ZN1b,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4195.363,8634.295,1963.739,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,GGcat-161025.csv
South-Central Australia,ZN3a,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,418.2478,526.3146,325.9304,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,GGcat-161025.csv
Western Australia,ZN8b,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1162.396,1806.856,720.1029,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,GGcat-161025.csv
Eastern Australia Inner Zone,ZN4a,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,7766.746,18448.84,3204.556,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,GGcat-161025.csv
Eastern Australia,ZN4b,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,55650.50,177954.7,16998.45,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,GGcat-161025.csv
Central Australia,ZN3b,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1140.780,1765.206,708.8844,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,GGcat-161025.csv
Offshore Northeast,ZN7a,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,257.3816,383.2673,168.3849,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,GGcat-161025.csv
Tasmania,ZN3c,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4470.168,9199.860,2092.368,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,GGcat-161025.csv
Offshore South,ZN7b,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,330.9192,525.4751,204.2447,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,GGcat-161025.csv
Offshore East,ZN7c,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,223.3087,319.5342,153.0371,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,GGcat-161025.csv
West Coast,ZN6b,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,1100.990,2124.767,526.6153,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,GGcat-161025.csv
Offshore West,ZN7d,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,866.9866,1595.260,464.2463,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,GGcat-161025.csv
Southwest Seismic Zone,ZN8a,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,781.1655,1149.226,501.4838,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,GGcat-161025.csv
Eastern Sprigg Orogen,ZN2b,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2655.209,5170.386,1328.386,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,GGcat-161025.csv
