SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,YMAX,TRT,DOMAIN,CAT_FILE
Albany-Fraser,ALF,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,232.8208,269.2440,196.1316,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Amadeus Basin,ADB,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,189.3251,200.2427,170.4050,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Arunta Block,ATB,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,321.9922,391.3538,258.0899,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Ballan,BAL,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,339.8302,335.4017,282.7808,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Ballarat,BRT,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,479.6599,264.6546,496.3035,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Bass Strait,BAS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,265.1910,381.2317,180.7955,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Bathurst,BAT,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2533.923,4366.965,1375.138,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Bendigo,BEN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1e-30,-99.0,-99.0,1.208,-99.0,-99.0,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Bowen,BOW,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1091.130,1485.854,722.0666,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Bunnaloo,BUN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1490.182,2716.133,801.7345,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Burdekin,BUR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4467.737,9761.955,1898.688,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Canberra,CBR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1233.066,1921.201,740.1837,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Canning,CNG,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1011.905,1541.640,635.3190,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Canowindra,CAN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,3800.884,7563.834,1839.919,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Cape York,CYK,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,76.03447,49.29623,96.31601,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
