SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
South Victoria,ZN5,area,5.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,8040.234,11299.35,5700.351,1.0830,1.1422,1.0237,[-99.,[-99.,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,134.77,10.0,Extended,Non_cratonic,5.,NSHA18CAT_V0.1_hmtk_declustered.csv
Northwest Australia,ZN6a,area,1.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,8.0,7.8,8.2,5140.426,6162.505,4264.174,0.9438,0.9784,0.9092,[-99.,[-99.,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,59.27,13.616,Cratonic,Cratonic,1.,NSHA18CAT_V0.1_hmtk_declustered.csv
Northern Territory,ZN1a,area,1.0,1.0,1.1858,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,8.0,7.8,8.2,1829.364,2077.572,1586.403,0.9438,0.9784,0.9092,[-99.,[-99.,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,28.175,31.242,Cratonic,Cratonic,1.,NSHA18CAT_V0.1_hmtk_declustered.csv
Flinders Ranges,ZN2a,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,60019.66,111229.9,32322.84,1.2844,1.3819,1.1869,[-99.,[-99.,1966;1957;1945;1885,2.95;4.05;4.55;5.65,2017.536,-999,-999,-999,102.08,10.0,Non_cratonic,Non_cratonic,2.,NSHA18CAT_V0.1_hmtk_declustered.csv
Southern South Australia,ZN1b,area,2.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,14989.29,26488.83,8415.232,1.2844,1.3819,1.1869,[-99.,[-99.,1966;1957;1945;1885,2.95;4.05;4.55;5.65,2017.536,-999,-999,-999,99.745,10.0,Cratonic,Cratonic,1.,NSHA18CAT_V0.1_hmtk_declustered.csv
South-Central Australia,ZN3a,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,921.1409,1092.365,755.7616,0.9545,1.0028,0.9062,[-99.,[-99.,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,91.88,12.942,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Western Australia,ZN8b,area,1.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,8.0,7.8,8.2,6181.027,7454.650,5105.735,0.9438,0.9784,0.9092,[-99.,[-99.,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,88.61,10.0,Cratonic,Cratonic,1.,NSHA18CAT_V0.1_hmtk_declustered.csv
Eastern Australia Inner Zone,ZN4a,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,12548.56,14876.47,10495.99,1.2383,1.2775,1.1991,[-99.,[-99.,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,84.705,22.481,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Eastern Australia,ZN4b,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,85598.28,107798.4,67886.34,1.2383,1.2775,1.1991,[-99.,[-99.,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,61.01,35.231,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Central Australia,ZN3b,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,8.0,7.8,8.2,6482.334,8626.968,4851.969,0.9545,1.0028,0.9062,[-99.,[-99.,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,63.69,22.112,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
